datetime,Open,High,Low,Close,Volume,date
1546322400000,132.74,135.3,132.67,133.75,60696.25565,2019-01-01 06:00:00
1546344000000,133.78,136.0,132.26,132.58,63940.70863,2019-01-01 12:00:00
1546365600000,132.56,140.67,131.0,139.1,200607.46777,2019-01-01 18:00:00
1546387200000,139.1,140.0,137.76,138.91,89857.68147,2019-01-02 00:00:00
1546408800000,138.91,149.11,138.3,147.81,348520.22942,2019-01-02 06:00:00
1546430400000,147.82,152.48,146.33,149.06,299532.49775,2019-01-02 12:00:00
1546452000000,149.02,155.37,147.2,152.01,203575.9066,2019-01-02 18:00:00
1546473600000,152.01,153.64,148.67,151.72,166512.27607,2019-01-03 00:00:00
1546495200000,151.78,152.62,144.71,146.5,229273.02341,2019-01-03 06:00:00
1546516800000,146.53,148.91,143.11,144.65,188778.06466,2019-01-03 12:00:00
1546538400000,144.55,148.12,143.53,146.3,123527.953,2019-01-03 18:00:00
1546560000000,146.3,154.2,143.54,153.11,196564.36462,2019-01-04 00:00:00
1546581600000,153.11,154.8,149.25,149.34,216584.50325,2019-01-04 06:00:00
1546603200000,149.38,150.79,144.66,147.25,210489.95962,2019-01-04 12:00:00
1546624800000,147.24,153.98,146.51,151.97,181610.11072,2019-01-04 18:00:00
1546646400000,152.08,159.26,151.95,157.68,282758.83621,2019-01-05 00:00:00
1546668000000,157.7,157.8,152.15,155.92,167321.71936,2019-01-05 06:00:00
1546689600000,155.92,156.98,152.2,154.66,186412.19828,2019-01-05 12:00:00
1546711200000,154.66,156.57,151.2,152.83,136676.38351,2019-01-05 18:00:00
1546732800000,152.83,153.87,147.51,150.69,174111.47469,2019-01-06 00:00:00
1546754400000,150.69,153.24,149.02,152.5,120335.83383,2019-01-06 06:00:00
1546776000000,152.53,157.4,150.1,155.48,190347.31714,2019-01-06 12:00:00
1546797600000,155.49,156.43,152.56,153.86,143113.848,2019-01-06 18:00:00
1546819200000,153.89,155.48,151.7,153.33,94376.71806,2019-01-07 00:00:00
1546840800000,153.33,154.0,148.33,151.36,137015.04747,2019-01-07 06:00:00
1546862400000,151.37,152.4,149.15,150.83,92292.50748,2019-01-07 12:00:00
1546884000000,150.84,152.1,147.86,149.34,101081.02957,2019-01-07 18:00:00
1546905600000,149.29,150.64,145.2,146.43,106010.73761,2019-01-08 00:00:00
1546927200000,146.46,150.17,145.78,149.66,108705.42534,2019-01-08 06:00:00
1546948800000,149.67,151.65,147.26,147.63,165864.78027,2019-01-08 12:00:00
1546970400000,147.62,148.84,147.0,147.6,61080.12456,2019-01-08 18:00:00
1546992000000,147.62,151.5,146.77,150.02,102864.5065,2019-01-09 00:00:00
1547013600000,150.02,150.58,149.03,149.41,50415.96403,2019-01-09 06:00:00
1547035200000,149.45,149.78,147.41,148.55,78709.41056,2019-01-09 12:00:00
1547056800000,148.55,149.9,147.07,148.1,67453.68191,2019-01-09 18:00:00
1547078400000,148.11,149.45,147.4,147.4,59106.86476,2019-01-10 00:00:00
1547100000000,147.42,147.64,126.99,130.99,420124.89419,2019-01-10 06:00:00
1547121600000,130.98,131.61,122.07,123.85,218110.24251,2019-01-10 12:00:00
1547143200000,123.87,127.1,121.0,124.95,174409.74892,2019-01-10 18:00:00
1547164800000,124.96,127.36,122.2,125.88,138042.98559,2019-01-11 00:00:00
1547186400000,125.88,127.12,120.08,122.71,147721.84511,2019-01-11 06:00:00
1547208000000,122.71,126.45,120.59,125.42,154489.85202,2019-01-11 12:00:00
1547229600000,125.42,125.55,121.5,124.65,105039.30097,2019-01-11 18:00:00
1547251200000,124.67,125.81,122.6,125.09,87832.4854,2019-01-12 00:00:00
1547272800000,125.08,125.33,123.25,124.05,61738.8305,2019-01-12 06:00:00
1547294400000,124.04,126.19,122.7,124.25,78070.34412,2019-01-12 12:00:00
1547316000000,124.23,125.31,122.0,123.35,72620.47402,2019-01-12 18:00:00
1547337600000,123.35,123.66,122.27,122.67,40018.11794,2019-01-13 00:00:00
1547359200000,122.68,123.48,122.39,122.83,33075.24345,2019-01-13 06:00:00
1547380800000,122.85,124.25,113.35,114.53,195325.53173,2019-01-13 12:00:00
1547402400000,114.49,115.02,111.87,114.16,154143.07465,2019-01-13 18:00:00
1547424000000,114.17,116.6,113.94,115.89,85130.53334,2019-01-14 00:00:00
1547445600000,115.9,117.57,114.47,115.19,84679.07683,2019-01-14 06:00:00
1547467200000,115.18,130.05,114.92,127.21,241101.9078,2019-01-14 12:00:00
1547488800000,127.21,129.23,124.54,126.95,135508.89057,2019-01-14 18:00:00
1547510400000,126.95,128.83,125.48,126.42,81164.84619,2019-01-15 00:00:00
1547532000000,126.42,127.3,123.1,125.28,114735.95097,2019-01-15 06:00:00
1547553600000,125.28,129.4,123.51,125.19,183158.81628,2019-01-15 12:00:00
1547575200000,125.18,125.49,116.0,118.95,269960.91626,2019-01-15 18:00:00
1547596800000,118.93,120.58,118.52,120.22,88171.81711,2019-01-16 00:00:00
1547618400000,120.23,122.81,118.84,121.53,96268.8576,2019-01-16 06:00:00
1547640000000,121.53,126.88,118.78,121.47,214443.07347,2019-01-16 12:00:00
1547661600000,121.47,124.13,119.68,121.48,114602.90654,2019-01-16 18:00:00
1547683200000,121.49,121.93,118.91,120.12,80037.79136,2019-01-17 00:00:00
